Sentence,Sentiment
adpnews may finnish cutlery hand tool maker fiskars oyj abp hel fisa said today net profit declined eur million usd first quarter eur million correspond,negative
net cash flow operation expected remain positive,positive
lee man combined annual production capacity close million tonne paper tonne pulp,neutral
australia clear ab inbev billion sabmiller buyout plan,positive
huhtamaki market biggest faller pct lower eur omx helsinki pct higher omx helsinki pct,neutral
net sale decreased eur mn eur mn corresponding period,negative
operating profit fell eur mn second quarter eur mn second quarter,negative
company expects net sale first half reach previous year level,positive
kone said court paper union action delayed repair elevator federal courthouse jan saltonstall state office building jan,negative
period sale dropped eur million eur million according interim report released today,negative
share subscription period c option commence september expire march,neutral
revenue july september grew percent euro billion finnish company said thursday,positive
operating loss increased eur mn loss eur mn,negative
baltic country sale fell,negative
fair value company investment property went eur billion end eur billion year earlier,negative
exact exas flagged strong high volume exas http stks co rra,positive
truly take efficiency new height mr metso add,positive
finnish food worker union sel plan hasten collective bargaining two day strike would begin april finland,neutral
agreement expired earlier month,neutral
rapala vmc corporation stock exchange release october kaupthing bank oyj kapthing informed rapala vmc corporation rapala interrupted liquidity providing rapala share time,neutral
moment valio not worried ban continues long may become quite problem,neutral
xlf http stks co kj bounced target buy area bought skf hedge watch slope,negative
dnb nord norway likely nordic buyer citadele nordea would good strategic fit according document published pietiek,neutral
managing director comment net sale first quarter notably lower year especially finland russia baltic country,negative
grpn might selling ahead p earnings,negative
cnp sell short position cnp closed profit http stks co ghjc,positive
philip morris bat sue law taking branding pack,negative
asdfllc nice pop today told ya would green haha funny bring actually working story nok moment,positive
met located central business district cbd bangkok,neutral
according tyrv ñinen estimation japan essential location term finnair asian strategy,neutral
company expects net sale whole remain level,neutral
room modify share component already indicated,neutral
earnings per share eps seen eur eur,positive
cooperation airbaltic expected lead transfer finncomm ownership airbaltic time,neutral
ibm staying strong,positive
rising cost forced packaging producer huhtamaki axe job hampshire manufacturing plant,neutral
furthermore sale new passenger car light commercial vehicle country declined year year last month,negative
okmetic expects net sale first half le,negative
ensure low operational cost radio network bts module configured software upgraded diagnosed remotely,positive
within framework partnership nokia siemens network signed initial framework purchase agreement sitronics subsidiary jsc mikron largest manufacturer exporter microelectronic component russia,positive
finnish investment group norvestia oyj said net profit fell mln euro mln mln euro mln,negative
company said started investigate streamlining operation order meet tightening competition mobile phone charger market,positive
acquisition sampo bank make strategic sense db say lindsey liddell director fitch rating financial institution group,positive
result company decided implement fixed term temporary lay offs,neutral
morrison face festive sale test,negative
government professional approach assessing offer,positive
rebuilds designed improve machine performance product quality,positive
presentation material posted company website www seahawkdrilling com investor relation section webcast presentation tab,neutral
finnish developer manufacturer mobile phone charger salcomp plc omx helsinki salv wednesday november lowered full year net sale estimate,negative
fb small long via call,positive
jeder beta tester erh ñlt kostenlos sechs monate lang update und hat laut eigener aussage die âglichkeit die finale version zu beeinflussen,neutral
thus group balance sheet eur million goodwill company added,neutral
marimekko operates industry change business climate reflected consumer demand,neutral
homeowner across north america green experience share cost saving clean eco friendly heating,neutral
platform based built intel second generation mid platform called moorestown,neutral
hsbc say unit book million charge settlement,negative
operating result excluding one item totaled eur mn compared eur mn continuing operation excluding one item,negative
stockmann established finland became first foreign company enter russia retail trade market,neutral
tsla recall model x vehicle share volatile http co tckqznmiqx tsla tech stockmarket http co femhjtamqj,negative
sponda record profit sale mln euro mln,positive
ahlstrom corporation seppo parvi cfo distribution main medium www ahlstrom com ahlstrom brief ahlstrom global leader development manufacture marketing high performance nonwovens specialty paper,neutral
tsla bad day short,positive
intertek swing â£ mln loss oil slump,negative
order valued usd,neutral
orange handled scissors fiskars part permanent design collection museum modern art new york well philadelphia museum art,neutral
finnish office supply computer accessory dealer beltton group plc said net profit rose mln euro mln mln euro mln,positive
tesco asda sale fall march discounter continues kantar,negative
nke gapping time high http stks co qjau tradeideas http stks co rjc,positive
turnaround buy bhp billiton plc home retail group plc,positive
aegn macd adx crossing signal line long setup http stks co qzzx,positive
company disclose detail including anticipated transaction timetable name new investor within one week,neutral
net cash flow operating activity negative eur mn compared eur mn corresponding period,negative
chf great product,positive
q company operating loss totalled eur mn compared profit eur mn q,negative
rautalinko resposnible also mobility service job division continued marek hintze,neutral
maritime administration said ship ignored warning icy condition,negative
apple expected launch new iphone ipad today aapl http co xfnicwebeg,positive
january november group sale totalled eur mn drop period,negative
deutsche bank cut sbux,negative
ingenious hsbc ubs coutts sued tax avoidance client,negative
nokia oyj production site bochum germany posted profit interest mln eur capital reported excerpt article released tomorrow citing internal document,neutral
elcoteq revenue approximately eur million,neutral
operating loss eur mn compared loss eur mn second quarter,positive
net sale kyro main business area glaston technology manufacturer glass processing machine decreased eur mn eur mn january september,neutral
grid show dia capped long term range rally beyond today level range lead meltdown,negative
cndo short float short likely take profit close,negative
nokia u share percent lower gmt,negative
order delivered bring total output electricity italy generated wartsila equipment mw,neutral
operating profit net sale six month period increased respectively eur eur compared corresponding period,positive
sina even though report untrue proven unture damage done one want touch,negative
u energy executive say high steel price threatening energy exploration,negative
combining two producer create strong eu based fertilizer industry capable meeting global competition added,positive
tesco share price close higher two director leave grocer,positive
budapest august mti finnish electronics maker elcoteq lay worker plant pecs hungary end september falling order communication director elcoteq local unit zoltan krippl told mti monday,negative
newly completed allure sea identical sister ship oasis sea completed last year world largest cruise ship,neutral
choose efficient best overall value option customer already bidding stage,positive
reduction notice applied people,negative
fintech provider cafn cachet financial solution surging forward today post earnings http co bjcski jkhy fisv momo,positive
helsinki thomson financial share cargotec fell sharply early afternoon trade cargo handling group posted surprise drop april june profit overshadowed large number new order received three month,negative
subscription increase cargotec share capital euro,positive
third quarter net sale increased year year eur comparable currency rate growth,positive
net sale vegetable oil business rose eur mn eur mn,positive
operating loss totalled eur mn compared profit eur mn second quarter,neutral
steelmaker said drop profit explained continuing economic uncertainty mixed current drought bank lending resulting decline demand product customer find increasingly difficult fund operation,negative
siga bid reargument denied judge,negative
administrator indicated need job cut irish insurer next month,negative
astrazeneca acquires z pharma billion deal,positive
center offer comprehensive range device design service spanning electronics mechanic software design full range testing laboratory service,neutral
operating profit fell eur mn eur mn,neutral
q company result tax continuing operation excluding non recurring item totalled eur mn compared eur mn corresponding period,negative
extensive co operation also bolster sysopen digia position domestic operator market kallioranta add,positive
company hoped new plant would stream end,neutral
desk reach full planned strength ten person autumn,neutral
drugmaker shire buy baxalta billion month pursuit,positive
company serf approximately customer country,neutral
finland based elcoteq se privately held provider electronics manufacturing service communication company said thursday signed long term manufacturing supply deal communication equipment company andrew corp,positive
finnish textile clothing group marimekko oyj posted net profit mln euro mln compared mln euro mln,negative
outokumpu finland stainless steel manufacturer plan enter supply agreement indian railway,positive
biohit already service many current genesis customer customer base expected expand result agreement,positive
stumbled upon amazing chart ofix holy guac super overbought http stks co epx,negative
diluted eps rose eur eur,positive
konecranes oyj kcrv fh fell percent euro biggest fall since june,negative
fb dead far bloated valuation http co czcfkbrlt,negative
lnkd daily phase retest price experiencing early rejection retest http stks co txx,negative
previously company guided ebit sale growth pct pct respectively year,positive
fti breakout today reporting earnings last night,positive
acquisition kaupthing sverige bring significant positive non recurring addition group performance,positive
helsinki based componenta bought turkish listed company doktas october million euro making largest finnish investment turkey date,neutral
peer peugeot fell pct sale rose pct period last year,negative
fb gettin buy zone soon,positive
technopolis finnish operation oulu vantaa espoo lappeenranta jyvaskyla tampere also preparing expand operation russia,neutral
petrofac book â£m cost shetland gas terminal delay,negative
product include consumer electronics device mobile phone accessory set top box flat panel tv well system solution product infrastructure system module industrial segment product,neutral
reporting period biotie north american licensing partner somaxon pharmaceutical announced positive result nalmefene pilot phase clinical trial smoking cessation,positive
profitability ebit compared q,negative
five storey eco efficient building gross floor area sq also include apartment,neutral
company said comparable operating profit january june period fell short last year corresponding performance,negative
operating profit rose eur mn eur corresponding period,positive
group order portfolio decreased eur mn eur mn,negative
operating loss non recurring item eur mn compared profit eur mn,negative
combined foreign investment creates interesting opportunity solteq,positive
uncommonly weak snow condition nearly every market affected first quarter result chief executive roger talermo said,negative
bearish outside day tuesday significant day resistance still intact opinion sd http chart ly beyt,negative
product portfolio comprises harvester forwarders harvester head well crane loader,neutral
bhp billiton post big loss slash dividend,negative
tekla structure team compatible window operating system,neutral
pentik ñinen emphasis internet content medium house provide not free forever,neutral
compass group say positive year ahead,positive
operating profit eur mn eur mn,negative
approval shareholder cencorp accordance finnish law,neutral
far company awarded worth tool material,neutral
crane would installed onboard two freighter ordered singaporean ship owner masterbulk,neutral
continued operation mean structure restructuring aspocomp group including aspocomp oulu headquarter operation,neutral
floor area yliopistonrinne project sq sq ft building gross area total sq total facility let,neutral
operating profit net sale six month period increased respectively eur eur compared corresponding period,positive
name not yet released,neutral
addition verification identity digital signature new state approved mobile id enables cast vote election well,neutral
hrl ready pop http stks co sny,positive
short altr loss,positive
bbry actually lost c per share u incl vz debt cash,negative
result negotiation employment blue white collar employee oulu plant would terminated,negative
add order contains among others control valve instrumentation well complete mill engineering electrification metso drive control,neutral
one one time targeted june guess pushed back maybe crazy feel like n leaked enough meet date point,neutral
expense ratio compared corresponding period,negative
royal mail share price edge lower group raise stamp price,negative
company operates four principal division consumer packaging office paper speciality paper well market pulp energy,neutral
capacity ease seikku sawmill pori alholma sawmill pietarsaari result people laid around six week starting mid may said,negative
company said supply wcdma g hspa radio network including modular high capacity nokia flexi wcdma base station east java bali sumatra batam,positive
airline share price closed slightly xac u helsinki,neutral
gevo plunging back,negative
london marketwatch share price ended lower london monday rebound bank stock failed offset broader weakness ftse,neutral
unilever profit rise despite sale slump china,positive
tesco abandon video streaming ambition blinkbox sale,negative
update astrazeneca boost respiratory unit mln takeda deal,positive
group owns operates fleet dwt container capacity teus manages diversified fleet railway rolling stock unit,neutral
operating profit nine month period increased eur net sale increased eur compared corresponding period,positive
chime communication set acquired wpp providence,positive
server responsible managing device user account desktop client application enables remote access mobile phone,neutral
bridge km long located anasmotet road e new traffic junction marieholm road e,neutral
bobe premarket,negative
people enjoy mobile game often customer enjoy experimenting new mobile service content,neutral
finland nokian tyre kazakhstan ordabasy corporation signed agreement build plant astana produce car tire ordabasy chairman dinmukhamet idrisov said press conference,positive
want credit card info personal detail,neutral
share sale foreign finnish investor expected raise euro million u million,neutral
company board director propose dividend eur annual general meeting,neutral
fair value company investment property grew eur billion end march eur million year ago,positive
operating profit fourth quarter went eurm eur corresponding period included cost growth project,negative
profit period fell eur mn eur mn january september,negative
borrower happy roadshow paid hit ratio high,positive
city spirit sink diageo come short sale slide,negative
u dollar wipe sale gain sabmiller,negative
demand fireplace product lower expected especially germany,neutral
nevertheless fitch note business fundamental three bank currently remain sound,positive
acquisition company expand offering north central south america said,positive
karppinen expects consolidation trend continue finnish market,neutral
national conciliator juhani salonius met party wednesday said far apart view propose mediation,negative
say categorically wahlroos quoted saying paper asked sampo interest making bid rsa,neutral
potential client include public administration organization investing utility network service,neutral
april finnish construction engineering company outotec oyj hel otev said today slipped net loss eur first quarter net profit eur corresponding period last year,neutral
could u,neutral
plug bear raid,negative
fiskars strong portfolio international brand include fiskars iittala gerber silva buster,positive
founded finnair one world oldest airline fly destination fleet aircraft employing people,neutral
hznp havent seen vol like since runup let see one dip x,negative
eps dropped eur eur,neutral
tsla recall model x http co bizyabue,negative
hsbc hit fresh detail tax evasion claim,negative
finnish bank àland àlandsbanken issued profit warning,negative
prosecutor also demanding outokumpu pay fine eur,negative
ruukki signed contract norwegian company veidekke entreprenor,positive
update ex barclays director accused u illegal tip plumber,negative
strike finnair estimate incur net loss eurm eur per day,negative
company said sale three month end march slid eur u eur last year,negative
value order nearly eurm,neutral
spy http stks co mir holding wednesday thursday close leaning bullish small postions waiting,positive
madison wi feb prnewswire fiskars announces united state patent trademark office granted trademark registration color orange iconic scissor handle,positive
tsla yeah let go lol,negative
eriikka âderstr âm previously held several position finance control nokia network including acting business group controller corporate controller position nokia siemens network,neutral
locked fb put nice gain,negative
fb aapl nke jwn bearish chart keep getting worse,negative
end last week protalix biotherapeutics inc amex plx published prospectus first offering amex share capital,neutral
astrazeneca medimmune ink licensing deal omnis pharmaceutical,positive
period sale dropped eur eur according interim report released today,negative
cost costco le stellar day held day moving average,negative
omx helsinki index pct lower omx helsinki cap portfolio index pct,negative
result enable preparation conceptual plant design capital estimate,neutral
result person longer needed,negative
industry asia ó pakistan malaysia taiwan philippine today global research data service going publish several market analysis cement market asia,neutral
aim achieve eur mn yearly saving,positive
management decided end increase cathode copper capacity,neutral
building home improvement trade sale decreased totalling eur mn,negative
protalix closed friday american stock exchange giving market cap million,neutral
fi developing cooperation keyword advertising microsoft,positive
rb reportedly appoint howard davy next chairman,neutral
significant milestone benefon helping u secure critical usp personal navigation product roadmap beyond commented simon button chief technology officer benefon,positive
bullish engulfing coca cola http stks co fyco ko,positive
lassila tikanoja operating profit excluding non recurring imputed item second quarter eur eur year ago,negative
teleste expects start delivery end,neutral
endp saw large order one last week someone also accumulating may jun call today,positive
talk involved food ingredient division well group service function company said,neutral
finnish electronics manufacturing service em company elcoteq se posted net loss mln euro mln first half compared net profit mln euro mln period,negative
whitbread buy stake pure food chain,positive
finnish forest industry group stora enso oyj issued thursday march profit warning first quarter,negative
sunrise resource operates russian near shore development market wholly owned russian subsidiary personnel russia,neutral
fb popping hod,positive
tsla february low amazing rebound,positive
pretax profit decreased eur mn eur mn fourth quarter,negative
benefon turn salo unit bb business unit establish bc business unit uk,neutral
ssys tested low rise steadily hit trading day ago sept,positive
lemminkainen infra oy subsidiary lemminkainen sverige ab perform construction work expected start early completed summer,neutral
not alone,neutral
diageo receives report united spirit financial irregularity involving,negative
swedbank share hardest hit swedish bank ongoing international financial crisis,negative
net sale however increase,positive
operating cash flow investment totalled eur mn compared eur mn corresponding period,neutral
rockwell collins provider flight deck cabin information management solution business aircraft operator,neutral
company delivered technical infrastructure used nav data warehouse business intelligence initiative,neutral
building home improvement trade net sale totalled eur mn eur mn year earlier,negative
srv lowered net sale estimate whole due uncertainty housing sale,negative
leading private road ambulance service company finland,positive
finnish scanfil contract manufacturer system supplier communication industrial electronics report net sale eur mn first half eur mn year earlier,negative
announcement come two week key licensing agreement expires two company embroiled disagreement royalty payment texas instrument chip use qualcomm patented technology,negative
finnish diversified holding company aspo oyj said september sell finnish tape business kaukomarkkinat unit local oy telpak ab,neutral
value confirmed aircraft order total eur bn,neutral
finnish construction company yit reducing number start ups market financed residential unit previously announced,negative
rationalization operation seek achieve eur million yearly saving second quarter current financial year,positive
agreement expands tekla structure scope use bridge design,positive
investment not disclosed,neutral
quick one stop shop understand company,neutral
would huge process,neutral
valeant name interim leader ceo remains hospitalized,neutral
rental building equipment accounted percent operating income,neutral
finnish food company raisio oyj hel raivv said friday wrapped divestment margarine operation u sector player bunge ltd nyse bg eurm usd,neutral
helsinki afx salcomp mobile phone charger manufacturer said appointed markku hangasjarvi new ceo following resignation mat eriksson,neutral
london leading share today jumped almost point market opened,positive
sale savcor face cencorp result profit loss not yet determined owing factor including valuation consideration share received prevailing exchange rate,neutral
finnish high technology provider vaahto group report net sale eur mn accounting period september february increase year earlier,positive
update cypress semiconductor offer buy integrated silicon solution,positive
however growth margin slowed due financial crisis,negative
iaci http stks co tju look good weekly chart,positive
acquisition not frozen food fish sector long synergy l ñnnen tehtaat business,neutral
mill concentrating getting supercalendered line running satisfactorily restarting older newsprint line,neutral
several large stock tacked lower however,neutral
dara breaking,positive
bwld bearish engulfing candle,negative
yit corporation sept corporate release stock exchange release yit capital market day london sept wednesday september yit hold capital market day investor analyst london,neutral
suominen corporation estimate cost cutting program started autumn higher sale price expected growth volume wet wipe make company operation profitable,positive
mflx pre mkt look like gap filled lookin short opt,negative
nokia share hit euro friday percent start year part slow introduction touch screen model,negative
legal general arm buy pct stake mediacityuk manchester,positive
device volume area decreased mn unit,negative
money spread mainly company said,neutral
mako hanging well today still basing pattern eye,positive
finnish waste management cleaning group lassila tikanoja oyj l net profit went mln euro mln mln euro mln,negative
forest certification voluntary system aimed promoting sustainable forest management commercial forest,neutral
advertising circulation revenue grew respectively,positive
narrow eur mo october finnish software hardware developer elektrobit oyj hel ebgv eb said today net loss narrowed eur first nine month eur period year ago,positive
elite residence tower new development tameer located heart dubai marina,neutral
long aapl call,positive
customer come following country uk usa spain france italy germany china hong kong sweden norway netherlands austria belgium switzerland czech republic finland canada russia ukraine denmark ireland south korea liechtenstein,neutral
britain ftse gain land security dividend hike,positive
emsa deputy chairman board juri lember told bns wednesday first time heard strike swedish side not informed estonian union yet,neutral
finnish electronics contract manufacturer scanfil net sale eur mn first quarter eur mn year,negative
ea point two facebook game accuses znga copyright infringement http stks co ga,negative
acad today,negative
hobby hall sale decrease pct due implementing new information system involved changing principal posting sale,negative
alma medium net sale totalled meur operating margin per cent,neutral
ruling set lower limit potential fine bp,negative
plant go stream november estimated daily production litre bioethanol,neutral
saudi aramco shell plan break motiva divide asset,negative
sunk depth metre fixed bottom mud vacuum,neutral
